subj,trial,condition,target,fb_true,respond,error,trial_duration,fb_time,fb,conf,fb_offset,viewAmount
Test_02,1,noFB,-345.1494,125.8944,414.2882,69.1388,79.69125,79.69125,0,0.651998,-125.8944,0
Test_02,2,noFB,69.8817,330.3427,-104.9913,35.1096,44.24658333,44.24658333,0,0.6709978,-330.3427,0
Test_02,3,noFB,-274.7274,148.7347,281.2282,6.5008,52.5775,52.5775,0,0.8010026,-148.7347,0
Test_02,4,noFB,188.69679,326.6727,-207.07849,18.3817,37.9525,37.9525,0,0.9009948,-326.6727,0
Test_02,5,noFB,85.7932,138.8396,-111.4523,25.6591,45.75333333,45.75333333,0,0.9069948,-138.8396,0
Test_02,6,noFB,323.3642,312.8265,-291.8381,-31.5261,41.47416667,41.47416667,0,0.8599954,-312.8265,0
Test_02,7,noFB,-232.99296,165.7211,283.5449,50.55194,44.74333333,44.74333333,0,0.8159959,-165.7211,0
Test_02,8,noFB,198.9377,8.631314,-210.0269,11.0892,36.38666667,36.38666667,0,0.8479955,-8.631314,0
Test_02,9,noFB,-102.443,191.5154,158.913,56.47,34.34833333,34.34833333,0,0.7549967,-191.5154,0
Test_02,10,noFB,155.09157,34.50028,-247.7672,92.67563,37.5825,37.5825,0,0.9570006,-34.50028,0
Test_02,11,FB,-171.8388,229.4221,187.4489,15.6101,59.795,13.34833333,-30.35149,0.5839989,-259.77359,0
Test_02,12,FB,-291.49086,45.62661,345.502431,54.011571,46.71333333,17.0425,19.89446,0.5,-25.73215,0
Test_02,13,FB,105.96472,259.0954,-180.5378,74.57308,46.8425,9.913333333,-52.08321,0.3880014,-311.17861,0
Test_02,14,FB,31.1722,25.8949,-95.805311,64.633111,58.96416667,5.38,-16.84301,0.4710004,-42.73791,0
Test_02,15,FB,-113.4407,182.5584,158.8633,45.4226,51.47916667,10.39666667,0,0.6829976,-182.5584,0
Test_02,16,FB,-104.0499,11.88693,131.7923,27.7424,40.545,14.54583333,-16.37988,0.6149985,-28.26681,0
Test_02,17,FB,-252.19784,183.547,251.1165,-1.08134,42.115,16.86166667,-45.15828,0.5,-228.70528,0
Test_02,18,FB,-70.6019,339.2137,122.7416,52.1397,47.49416667,14.73833333,-7.532948,0.5429994,-346.746648,0
